START
,Fresh fruit (A-N),,
,"Bell pepper, red",g,Free use,-,-,-,-,
,"Capsicum, red",g,Free use,-,-,-,-,
,Karotte,g,Free use,-,-,-,-,
,Celeriac,g,Free use,-,-,-,-,
,"Chili, green",g,Free use,-,-,-,-,
,Chives,g,Free use,-,-,-,-,
,Choy sum,g,Free use,-,-,-,-,
,Collard greens,g,Free use,-,-,-,-,
,"Cucumber, common",g,Free use,-,-,-,-,x
,"Endive, leaves",g,Free use,-,-,-,-,
,"Artischoke, ganz",r,0  g,x,-,-,-,
,"Artichoke, Herz Dose",r,0  g,x,x,-,-,
,Spargel,r,0  g,-,x,-,-,
,Bittermelon,r,0  g,x,-,-,-,
,Cauliflower,r,0  g,-,-,x,-,
,Artischoke Herz Dose,y,28  g,-,x,-,-,
,Aubergine,y,41  g,-,-,x,-,
,"Bohnen, grün",y,86  g,-,-,x,-,
,Rotebeete,y,20  g,x,-,-,-,
,"Bell pepper, green",y,52  g,-,-,x,-,x
,Bok Choy,y,85  g,-,-,x,-,
,Broccoli,y,47  g,x,-,x,-,
,Brussel sprouts,y,38  g,x,-,-,-,
,Butternut squash,y,30  g,x,-,x,-,
,"Cabbage, common",y,94  g,-,-,x,-,
,"Cabbage, red",y,89  g,x,-,-,-,
,"Cabbage, savoy",y,35  g,x,-,-,-,
,"Capsicum, green",y,52  g,-,-,x,-,
,Cassava,y,69  g,x,-,-,-,
,Celery,y,12  g,-,-,x,-,
,Chayote / Choko,y,84  g,x,-,,-,
,Chicory leaves,y,72  g,-,-,x,-,
,"Chili, red",y,28  g,x,-,-,-,x
,Cho cho,y,84  g,x,-,-,-,
,"Corn, sweet",y,43  g,x,-,x,-,
,Courgette,y,66  g,x,-,-,-,
,Eggplant,y,41  g,-,-,x,-,
,"Endive, bulb",y,49  g,x,-,-,-,
,Fresh Vegetables (U-Z),,
,Witlof,g,Free use,-,-,-,-,
,Water chestnuts,y,55  g,x,-,-,-,
,Yam,y,164  g,x,-,-,-,
,Yucca root,y,69  g,x,-,-,-,
,Zucchini,y,66  g,x,-,-,-,x
,Fresh Vegetables (F-T),,
,Galangal,g,Free use,-,-,-,-,
,Ingwer Wurzel,g,Free use,-,-,-,-,
,Kale,g,Free use,-,-,-,-,
,"Salat, butter",g,Free use,-,-,-,-,
,Salat Eisberg,g,Free use,-,-,-,-,x
,"Salat, red coral",g,Free use,-,-,-,-,
,"Salat, rocket",g,Free use,-,-,-,-,
,"Frühlingszwiebel , grüner Teil",g,Free use,-,-,-,-,
,Parsnip,g,Free use,-,-,-,-,
,Potato,g,Free use,-,-,-,-,
,"Kürbis , Japanese",g,Free use,-,-,-,-,
,Radish,g,Free use,-,-,-,-,
,Silverbeet,g,Free use,-,-,-,-,
,"Squash, pattypan",g,Free use,-,-,-,-,
,Swiss chard,g,Free use,-,-,-,-,
,Tomate normal,g,Free use,-,-,-,-,
,Garlic,r,0  g,x,-,-,-,
,Karela,r,0  g,x,-,-,-,
,Lauch weiß,r,0  g,x,-,-,-,
,"Pilz, button",r,0  g,x,-,x,-,
,"Pilz, Portobello, fresh",r,0  g,-,-,x,-,
,"Pilz, Shiitake",r,0  g,-,-,x,-,
,"Zwiebeln, Schalotten ",r,0  g,x,-,-,-,
,Zwiebel,r,0  g,x,-,-,-,
,"Frühlingszwiebel, Weißer Teil",r,0  g,x,-,-,-,
,Zwiebel weiß,r,0  g,x,-,-,-,
,"Peas, sugar snap",r,0  g,-,x,-,-,
,"Peas, thawed",r,0  g,x,-,-,-,
,Gai lan,y,68  g,x,-,-,-,
,Lauch grün,y,28  g,-,-,x,-,
,"Salat, radicchio",y,35  g,x,-,-,-,
,"Mange, tout",y,17  g,x,-,x,-,
